PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
11490270,1798900,58097703.0,,0.05,594.1,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
11496734,1800296,194690245.0,,0.08598,484.0,,0.08598,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,85.98,,,,,,,,,,,,,,,,,
11511120,1800296,194690240.0,,0.0167,469.9,,0.0167,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,
11539274,1804579,104065412.0,,0.21,432.2,,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,
11554905,1800296,194690243.0,,0.21211,487.9,,0.21211,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,212.11,,,,,,,,,,,,,,,,,
11562562,1804579,104065403.0,,0.08,512.3,,0.08,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,
11605533,1800296,194690244.0,,0.24711999999999998,487.9,,0.24711999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,247.12,,,,,,,,,,,,,,,,,
11627094,1804579,104065410.0,,0.09,479.2,,0.09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,
11661053,1804579,104065407.0,,0.3,387.8,,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
11692115,1800296,194690241.0,,0.24439,519.9,,0.24439,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,244.39,,,,,,,,,,,,,,,,,
